GAME_ID,AWAY_ML,HOME_ML,SPREAD,TOTAL_POINTS
20191160GSW,260,-330,7,240.5
20191160HOU,200,-250,5,220.5
20191160LAC,100,-120,1,221.5
20191160MEM,-275,225,7,209.5
20191160POR,950,-1800,12.5,217.5
20191170CHO,125,-145,1.5,230
20191170DEN,900,-1600,12,212
20191170IND,130,-150,2.5,224.5
20191170OKC,425,-600,10,226
20191170TOR,350,-450,10.5,225
20191170WAS,260,-330,7,225
20191180BOS,450,-650,10.5,204.5
20191180DET,125,-145,2,207.5
20191180LAC,-300,240,5.5,241
20191180MIN,110,-130,1,224.5
20191180ORL,125,-145,1,216
20191180POR,130,-150,2,232.5
20191180UTA,1200,-3000,15,214.5
20191190ATL,-330,260,8.5,227
20191190CHI,-180,150,2.5,206.5
20191190CHO,250,-310,6,223
20191190DEN,1500,-5000,16.5,218
20191190DET,-125,105,1,221
20191190HOU,260,-330,8,225.5
20191190IND,275,-350,6.5,214.5
20191190ORL,-700,500,9.5,220
20191190PHI,145,-170,2,236
20191190TOR,500,-700,12.5,209
20191200IND,280,-360,7,219
20191200MIN,750,-1200,10,227.5
20191200SAS,400,-550,8,226
20191210ATL,-105,-115,pk,220
20191210BOS,350,-450,8,215
20191210BRK,140,-160,2.5,230
20191210CLE,-150,130,2,212.5
20191210LAL,-1500,850,10.5,235
20191210MEM,125,-145,3.5,217.5
20191210MIL,600,-900,11,230
20191210NYK,-500,375,9.5,228.5
20191210PHI,170,-200,4,234
20191210UTA,175,-210,5,217
20191210WAS,190,-240,4,216.5
20191220DAL,130,-150,2,223.5
20191220OKC,145,-170,5.5,229
20191220PHO,-190,160,6,228.5
20191220TOR,500,-700,11,228.5
20191230BOS,1100,-2500,17.5,216
20191230BRK,180,-220,6.5105,217
20191230CHI,105,-125,2,221.5
20191230IND,230,-280,4.5,219.5
20191230MEM,115,-135,1,210
20191230MIA,200,-250,5.5105,217
20191230NOP,170,-200,4,221
20191230NYK,-400,300,7.5,226
20191230PHI,140,-160,2,226
20191230UTA,150,-180,3,217.5
20191240LAL,115,-135,1.5,229
20191240OKC,850,-1500,11,237
20191240PHO,-400,300,7.5,226.5
20191240WAS,-500,375,9,234.5
20191250BRK,330,-420,9.5,224
20191250CHI,-210,176,5,220.5
20191250CLE,-400,317,8.5,210
20191250DAL,176,-210,5,209
